"movies_name","movies_url","movies_IMAX","movies_rating_rating","movies_character_name","movies_character_actor"
"The Shawshank Redemption","https://parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","",""
"","","","","Andy Dufresne","Tim Robbins"
"","","","","Ellis Boyd 'Red' Redding","Morgan Freeman"
"","","","","Warden Norton","Bob Gunton"
"","","","","Heywood","William Sadler"
"","","","","Captain Hadley","Clancy Brown"
"","","","","Tommy","Gil Bellows"
"","","","","Bogs Diamond","Mark Rolston"
"","","","","Brooks Hatlen","James Whitmore"
"","","","","1946 D.A.","Jeffrey DeMunn"
"","","","","Skeet","Larry Brandenburg"
"","","","","Jigger","Neil Giuntoli"
"","","","","Floyd","Brian Libby"
"","","","","Snooze","David Proval"
"","","","","Ernie","Joseph Ragno"
"","","","","Guard Mert","Jude Ciccolella"
"Schindler's List","https://parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","",""
"","","","","Oskar Schindler","Liam Neeson"
"","","","","Itzhak Stern","Ben Kingsley"
"","","","","Amon Goeth","Ralph Fiennes"
"","","","","Emilie Schindler","Caroline Goodall"
"","","","","Poldek Pfefferberg (as Jonathan Sagalle)","Jonathan Sagall"
"","","","","Helen Hirsch","Embeth Davidtz"
"","","","","Wiktoria Klonowska (as Malgoscha Gebel)","Malgorzata Gebel"
"","","","","Wilek Chilowicz (as Shmulik Levy)","Shmuel Levy"
"","","","","Marcel Goldberg","Mark Ivanir"
"","","","","Ingrid (as Beatrice Macola)","Béatrice Macola"
"","","","","Julian Scherner","Andrzej Seweryn"
"","","","","Rolf Czurda (as Friedrich Von Thun)","Friedrich von Thun"
"","","","","Herman Toffel","Krzysztof Luft"
"","","","","Leo John","Harry Nehring"
"","","","","Albert Hujar","Norbert Weisser"
"The Godfather","https://parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","",""
"","","","","Don Vito Corleone","Marlon Brando"
"","","","","Michael Corleone","Al Pacino"
"","","","","Sonny Corleone","James Caan"
"","","","","Clemenza (as Richard Castellano)","Richard S. Castellano"
"","","","","Tom Hagen","Robert Duvall"
"","","","","Capt. McCluskey","Sterling Hayden"
"","","","","Jack Woltz","John Marley"
"","","","","Barzini","Richard Conte"
"","","","","Sollozzo","Al Lettieri"
"","","","","Kay Adams","Diane Keaton"
"","","","","Tessio","Abe Vigoda"
"","","","","Connie","Talia Shire"
"","","","","Carlo","Gianni Russo"
"","","","","Fredo","John Cazale"
"","","","","Cuneo","Rudy Bond"
"The Godfather: Part II","https://parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","",""
"","","","","Michael","Al Pacino"
"","","","","Tom Hagen","Robert Duvall"
"","","","","Kay","Diane Keaton"
"","","","","Vito Corleone (as Robert DeNiro)","Robert De Niro"
"","","","","Fredo Corleone","John Cazale"
"","","","","Connie Corleone","Talia Shire"
"","","","","Hyman Roth","Lee Strasberg"
"","","","","Frankie Pentangeli","Michael V. Gazzo"
"","","","","Senator Pat Geary","G.D. Spradlin"
"","","","","Al Neri","Richard Bright"
"","","","","Fanucci (as Gaston Moschin)","Gastone Moschin"
"","","","","Rocco Lampone","Tom Rosqui"
"","","","","Young Clemenza (as B. Kirby Jr.)","Bruno Kirby"
"","","","","Genco","Frank Sivero"
"","","","","Young Mama Corleone (as Francesca de Sapio)","Francesca De Sapio"
"The Dark Knight","https://parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","",""
"","","","","Bruce Wayne","Christian Bale"
"","","","","Joker","Heath Ledger"
"","","","","Harvey Dent","Aaron Eckhart"
"","","","","Alfred","Michael Caine"
"","","","","Rachel","Maggie Gyllenhaal"
"","","","","Gordon","Gary Oldman"
"","","","","Lucius Fox","Morgan Freeman"
"","","","","Ramirez","Monique Gabriela Curnen"
"","","","","Wuertz","Ron Dean"
"","","","","Scarecrow","Cillian Murphy"
"","","","","Lau","Chin Han"
"","","","","Mayor","Nestor Carbonell"
"","","","","Maroni","Eric Roberts"
"","","","","Chechen","Ritchie Coster"
"","","","","Mike Engel","Anthony Michael Hall"
"Pulp Fiction","https://parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","",""
"","","","","Pumpkin / Ringo","Tim Roth"
"","","","","Honey Bunny / Yolanda","Amanda Plummer"
"","","","","Waitress","Laura Lovelace"
"","","","","Vincent Vega","John Travolta"
"","","","","Jules Winnfield","Samuel L. Jackson"
"","","","","Marvin","Phil LaMarr"
"","","","","Brett","Frank Whaley"
"","","","","Roger","Burr Steers"
"","","","","Butch Coolidge","Bruce Willis"
"","","","","Marsellus Wallace","Ving Rhames"
"","","","","Paul / English Bob","Paul Calderon"
"","","","","Trudi","Bronagh Gallagher"
"","","","","Jody","Rosanna Arquette"
"","","","","Lance","Eric Stoltz"
"","","","","Mia Wallace","Uma Thurman"
"The Good, the Bad and the Ugly","https://parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","",""
"","","","","Tuco","Eli Wallach"
"","","","","Blondie","Clint Eastwood"
"","","","","Sentenza / Angel Eyes","Lee Van Cleef"
"","","","","Alcoholic Union Captain (as Aldo Giuffre')","Aldo Giuffrè"
"","","","","Father Pablo Ramirez","Luigi Pistilli"
"","","","","Maria","Rada Rassimov"
"","","","","Storekeeper","Enzo Petito"
"","","","","Mexican Peon","Claudio Scarchilli"
"","","","","Sheriff (as John Bartho)","John Bartha"
"","","","","Baker","Livio Lorenzon"
"","","","","Jackson / Bill Carson","Antonio Casale"
"","","","","Mexican Peon","Sandro Scarchilli"
"","","","","Member of Angel Eyes' Gang","Benito Stefanelli"
"","","","","Monk","Angelo Novi"
"","","","","Stevens","Antonio Casas"
"12 Angry Men","https://parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","",""
"","","","","Juror #1","Martin Balsam"
"","","","","Juror #2","John Fiedler"
"","","","","Juror #3","Lee J. Cobb"
"","","","","Juror #4","E.G. Marshall"
"","","","","Juror #5","Jack Klugman"
"","","","","Juror #6","Edward Binns"
"","","","","Juror #7","Jack Warden"
"","","","","Juror #8","Henry Fonda"
"","","","","Juror #9","Joseph Sweeney"
"","","","","Juror #10","Ed Begley"
"","","","","Juror #11","George Voskovec"
"","","","","Juror #12","Robert Webber"
"The Lord of the Rings: The Return of the King","https://parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","",""
"","","","","Everard Proudfoot","Noel Appleby"
"","","","","Elanor Gamgee","Alexandra Astin"
"","","","","Sam","Sean Astin"
"","","","","Gondorian Soldier 3","David Aston"
"","","","","Madril","John Bach"
"","","","","Boromir","Sean Bean"
"","","","","Galadriel","Cate Blanchett"
"","","","","Legolas","Orlando Bloom"
"","","","","Pippin","Billy Boyd"
"","","","","Eldarion","Sadwyn Brophy"
"","","","","Damrod","Alistair Browning"
"","","","","Celeborn","Marton Csokas"
"","","","","Gondorian Soldier 1","Richard Edge"
"","","","","Uruk 2","Jason Fitch"
"","","","","Theoden","Bernard Hill"
"Fight Club","https://parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","",""
"","","","","The Narrator","Edward Norton"
"","","","","Tyler Durden","Brad Pitt"
"","","","","Marla Singer","Helena Bonham Carter"
"","","","","Robert 'Bob' Paulsen (as Meat Loaf Aday)","Meat Loaf"
"","","","","Richard Chesler","Zach Grenier"
"","","","","Intern","Richmond Arquette"
"","","","","Thomas","David Andrews"
"","","","","Group Leader","George Maguire"
"","","","","Weeping Woman","Eugenie Bondurant"
"","","","","Group Leader","Christina Cabot"
"","","","","Speaker","Sydney 'Big Dawg' Colston"
"","","","","Chloe","Rachel Singer"
"","","","","Airline Attendant","Christie Cronenweth"
"","","","","Inspector Bird (as Tim de Zarn)","Tim De Zarn"
"","","","","Inspector Dent","Ezra Buzzington"